"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"45","RT @DrumChronicles: #Angola Jean-Claude Bastos made $41million in 20 months from government 'people's fund' #ParadisePapers #Mauritius  htt…",FALSE,0,NA,2017-11-08 10:13:13,FALSE,NA,"928203749209894912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KEcurious",5,TRUE,FALSE,NA,NA
"46","RT @danilosantini65: #paradisePapers ; hai capito i #comunisti del #nwo che lottano per i #dirittiUmani? Tutti coi conti nei #paradisiFisca…",FALSE,0,NA,2017-11-08 10:13:11,FALSE,NA,"928203741614010368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LuiNardi",33,TRUE,FALSE,NA,NA
"47","RT @UKLabour: REVEALED: the #ParadisePapers expose how the Tories let the super-rich stash away BILLIONS in unpaid tax. Share this <U+2193> https:…",FALSE,0,NA,2017-11-08 10:13:10,FALSE,NA,"928203737507729408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","achwyn",714,TRUE,FALSE,NA,NA
"48","RT @SpDapergolas: <U+0395><U+03C8>a<U+03BE>a <U+03BB>ept<U+03BF>µe<U+03C1><U+03CE><U+03C2> t<U+03B7><U+03BD> <U+03BB><U+03AF>sta #ParadisePapers <U+03BA>a<U+03B9> µe a<U+03BD>a<U+03BA><U+03BF><U+03CD>f<U+03B9>s<U+03B7> µp<U+03BF><U+03C1><U+03CE> <U+03BD>a sa<U+03C2> p<U+03C9> <U+03CC>t<U+03B9> de<U+03BD> <U+03C5>p<U+03AC><U+03C1><U+03C7>e<U+03B9> <U+03BA>a<U+03BD><U+03AD><U+03BD>a µ<U+03AD><U+03BB><U+03BF><U+03C2> t<U+03BF><U+03C5> <U+03A1><U+03BF><U+03C5>ß<U+03AF><U+03BA><U+03C9><U+03BD>a <U+03AE>…",FALSE,0,NA,2017-11-08 10:13:10,FALSE,NA,"928203736912146432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jtRDyWAp1rmoIxn",27,TRUE,FALSE,NA,NA
"49","The latest The #OccupyEverywhere Story #DFH! https://t.co/DP1QzHeusF Thanks to @cbn2 #intelgroup #paradisepapers",FALSE,0,NA,2017-11-08 10:13:10,FALSE,NA,"928203734907269120",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","ishtarmuz",0,FALSE,FALSE,NA,NA
"50","RT @ashutosh_nishu: <U+091C><U+0932><U+094D><U+0926> <U+0939><U+0940> <U+0915><U+0947><U+0935><U+0932> <U+091F><U+0949><U+092F><U+0932><U+0947><U+091F> <U+092A><U+0947><U+092A><U+0930> <U+0939><U+0940> <U+0905><U+0915><U+0947><U+0932><U+093E> <U+0910><U+0938><U+093E> <U+092A><U+0947><U+092A><U+0930> <U+0939><U+094B><U+0917><U+093E>,
<U+091C><U+093F><U+0938><U+0915><U+094B> <U+0928><U+093F><U+0915><U+093E><U+0932><U+0928><U+0947> <U+0938><U+0947> <U+0909><U+0938> <U+092A><U+0930> <U+0905><U+092E><U+093F><U+0924><U+093E><U+092D> <U+0915><U+093E> <U+0928><U+093E><U+092E> <U+0928> <U+092E><U+093F><U+0932><U+0947><U+0917><U+093E>..! #ParadisePapers #Pana…",FALSE,0,NA,2017-11-08 10:13:10,FALSE,NA,"928203734622003201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Rishi_INC",6,TRUE,FALSE,NA,NA
"51","St<U+03BF><U+03BD> #skai_xeftiles <U+03AC><U+03C1><U+03C7><U+03B9>sa<U+03BD> t<U+03B9><U+03C2> p<U+03C1><U+03BF>se<U+03C5><U+03C7><U+03AD><U+03C2> <U+03B3><U+03B9>a t<U+03B7><U+03BD> #d<U+03B9><U+03BA><U+03B7>_<U+039C>a<U+03C1><U+03B9><U+03BD>a<U+03BA><U+03B7> #mareva_gate <U+03BA>a<U+03B9> #paradisepapers https://t.co/yXUOlqebWo",FALSE,0,NA,2017-11-08 10:13:08,FALSE,NA,"928203728657829889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MicheleBinnu",0,FALSE,FALSE,NA,NA
"52","RT @GLove39: Siri, show me a visual metaphor for tax avoidance
#ParadisePapers https://t.co/wVdSy7QtMZ",FALSE,0,NA,2017-11-08 10:13:08,FALSE,NA,"928203727386939392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ryddogg",44979,TRUE,FALSE,NA,NA
"53","RT @JohnWight1: #GrenfellTower, #ParadisePapers, sexual abusing politicians, spike in poverty, homelessness, foodbanks...what's it going to…",FALSE,0,NA,2017-11-08 10:13:06,FALSE,NA,"928203719124180992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","goLookGoRead",8,TRUE,FALSE,NA,NA
"54","RT @nishtimann: Sunu netlestirelim;
#ParadisePapers takiler vergi kaçirmaktan çok, kaynagi belirsiz servetlerini gizlemek için off shore he…",FALSE,0,NA,2017-11-08 10:13:06,FALSE,NA,"928203717421264896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yorum_siz",160,TRUE,FALSE,NA,NA
